ir,resp,pr,spo2,spo2_real,rrInterval
479731,20163,76,99,99,64
480362,20149,76,99,99,64
481198,20168,76,99,99,64
482292,20162,76,99,99,64
483543,20164,76,99,99,64
484955,20171,76,99,99,64
486543,20167,76,99,99,64
488169,20158,76,99,99,64
489886,20168,76,99,99,64
491651,20169,76,99,99,64
493351,20166,76,99,99,64
495042,20173,76,99,99,64
496629,20173,76,99,99,64
498150,20173,76,99,99,64
499590,20174,76,99,99,64
500932,20161,76,99,99,64
502250,20154,76,99,99,64
503518,20153,76,99,99,64
504823,20141,76,99,99,64
506213,20143,76,99,99,64
507609,20143,76,99,99,64
509063,20139,76,99,99,64
510556,20152,76,99,99,64
511958,20143,76,99,99,64
513050,20151,76,99,99,64
513411,20158,76,99,99,64
512440,20164,76,99,99,64
509750,20169,76,99,99,64
504988,20176,76,99,99,64
497883,20173,76,99,99,64
488941,20175,76,99,99,64
479512,20181,76,99,99,64
470731,20167,76,99,99,64
463109,20166,76,99,99,64
456958,20169,76,99,99,64
452357,20161,76,99,99,64
449091,20156,76,99,99,64
447094,20165,76,99,99,64
446129,20152,76,99,99,64
445890,20157,76,99,99,64
446190,20153,76,99,99,64
446826,20152,76,99,99,64
447616,20158,76,99,99,64
448480,20165,76,99,99,64
449348,20165,76,99,99,64
450197,20161,76,99,99,64
451064,20163,76,99,99,64
451967,20161,76,99,99,64
452986,20155,76,99,99,64
454209,20156,76,99,99,64
455677,20149,76,99,99,64
457430,20145,76,99,99,64
459514,20153,77,99,99,66
461841,20141,77,99,99,66
464215,20136,77,99,99,66
466471,20141,77,99,99,66
468377,20138,77,99,99,66
469877,20120,77,99,99,66
470891,20130,77,99,99,66
471472,20125,77,99,99,66
471812,20119,77,99,99,66
471918,20131,77,99,99,66
471921,20123,77,99,99,66
471939,20116,77,99,99,66
472074,20124,77,99,99,66
472308,20123,77,99,99,66
472706,20115,77,99,99,66
473275,20129,77,99,99,66
474047,20121,77,99,99,66
474996,20124,77,99,99,66
476100,20131,77,99,99,66
477378,20121,77,99,99,66
478826,20116,77,99,99,66
480408,20116,77,99,99,66
482080,20111,77,99,99,66
483780,20112,77,99,99,66
485563,20117,77,99,99,66
487380,20108,77,99,99,66
489150,20105,77,99,99,66
490920,20112,77,99,99,66
492661,20108,77,99,99,66
494377,20103,77,99,99,66
496005,20104,77,99,99,66
497591,20093,77,99,99,66
499075,20090,77,99,99,66
500504,20096,77,99,99,66
501878,20094,77,99,99,66
503147,20093,77,99,99,66
504356,20094,77,99,99,66
505509,20097,77,99,99,66
506600,20097,77,99,99,66
507640,20093,77,99,99,66
508527,20097,77,99,99,66
509411,20098,77,99,99,66
510197,20092,77,99,99,66
510914,20093,77,99,99,66
511643,20090,77,99,99,66
512326,20088,77,99,99,66
513053,20076,77,99,99,66
513824,20073,77,99,99,66
514692,20062,77,99,99,66
515652,20053,77,99,99,66
516739,20049,77,99,99,66
518011,20042,77,99,99,66
519402,20037,77,99,99,66
520893,20041,77,99,99,66
522362,20033,77,99,99,66
523489,20039,77,99,99,66
523639,20044,77,99,99,66
522085,20041,77,99,99,66
518495,20042,77,99,99,66
512359,20042,77,99,99,66
503419,20027,77,99,99,66
492929,20022,77,99,99,66
482490,20020,77,99,99,66
473178,20011,77,99,99,66
465369,20010,77,99,99,66
459134,20012,77,99,99,66
454482,20008,77,99,99,66
451365,19994,77,99,99,66
449510,20000,77,99,99,66
448643,19987,77,99,99,66
448482,19982,77,99,99,66
448890,19994,77,99,99,66
449457,19991,77,99,99,66
450238,19989,77,99,99,66
450990,19996,77,99,99,66
451765,19990,77,99,99,66
452512,19985,77,99,99,66
453296,19996,77,99,99,66
454133,19999,77,99,99,66
455146,19989,77,99,99,66
456361,20001,77,99,99,66
457887,19991,77,99,99,66
459758,19983,77,99,99,66
461921,19997,78,99,99,83
464242,19986,78,99,99,83
466552,19984,78,99,99,83
468630,19978,78,99,99,83
470283,19971,78,99,99,83
471418,19963,78,99,99,83
472112,19964,78,99,99,83
472400,19962,78,99,99,83
472473,19950,78,99,99,83
472390,19965,78,99,99,83
472292,19949,78,99,99,83
472294,19956,78,99,99,83
472395,19958,78,99,99,83
472740,19959,78,99,99,83
473206,19960,78,99,99,83
473885,19954,78,99,99,83
474812,19958,78,99,99,83
475824,19956,78,99,99,83
476995,19952,78,99,99,83
478280,19954,78,99,99,83
479647,19955,78,99,99,83
481209,19965,78,99,99,83
482748,19957,78,99,99,83
484433,19961,78,99,99,83
486115,19955,78,99,99,83
487850,19955,78,99,99,83
489455,19957,78,99,99,83
491155,19952,78,99,99,83
492757,19948,78,99,99,83
494336,19952,78,99,99,83
495835,19951,78,99,99,83
497286,19946,78,99,99,83
498704,19950,78,99,99,83
500056,19950,78,99,99,83
501367,19949,78,99,99,83
502595,19955,78,99,99,83
503778,19949,78,99,99,83
504912,19945,78,99,99,83
505973,19948,78,99,99,83
506915,19944,78,99,99,83
507821,19949,78,99,99,83
508661,19954,78,99,99,83
509475,19954,78,99,99,83
510224,19953,78,99,99,83
510986,19957,78,99,99,83
511775,19948,78,99,99,83
512564,19952,78,99,99,83
513385,19954,78,99,99,83
514299,19954,78,99,99,83
515268,19949,78,99,99,83
516324,19957,78,99,99,83
517486,19953,78,99,99,83
518764,19951,78,99,99,83
520196,19958,78,99,99,83
521667,19951,78,99,99,83
523230,19948,78,99,99,83
524645,19955,78,99,99,83
525586,19952,78,99,99,83
