f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
5456,480458.0383,514506.395,0.933823259,92.33333333,78,1.183760684,3.197221016,13.66956996,0.233893314,92.38867174,79.18874379,1.166689448,4,21.30769231,22.13333333,0.962696942,4.478746655,4.047495796,1.106547574,10760.86402,6519.913622,1.650461133,576.1822917,2353.900446,0.244777681
5154,469461.4325,527223.3917,0.890441206,99.54545455,76.93333333,1.293918387,2.675261631,10.47197318,0.255468725,99.58139658,77.64277172,1.282558497,4,23.5,20.9375,1.12238806,4.787135539,4.464705337,1.072217577,13045.39068,6783.359123,1.923146105,2301.856259,2405.294874,0.956995453
5005,447810.53,510403.9758,0.877364894,94.66666667,82.42857143,1.148469093,3.248931448,13.51038905,0.240476528,94.72240143,83.52843827,1.134013797,3,21.76923077,21.53333333,1.010954989,2.516219574,4.616877252,0.545004651,16914.81171,7936.212205,2.131345694,2518.814756,1950.519179,1.291356057
5765,497007.1083,523184.0475,0.949966098,85.69230769,73.6,1.164297659,1.587674419,11.51694404,0.137855529,85.70701434,74.49563746,1.150497093,4,18.28571429,20.4375,0.894713849,0.451753951,3.27812351,0.137808704,30903.41756,17188.25877,1.797937649,1318.017877,6271.398748,0.210163303
5664,601251.7392,615884.5817,0.976240934,100.7272727,72.6875,1.385757836,2.219373748,3.11686441,0.712053351,100.75172,72.75429541,1.384821604,0,22.33333333,18,1.240740741,2.778888667,4.576153021,0.607254315,27987.11278,8370.922405,3.343372621,1851.416508,1478.550187,1.252183743
5135,449359.2558,475708.6917,0.944610144,96.66666667,80,1.208333333,3.472111109,12.39239398,0.28018082,96.72900289,80.95413163,1.194861843,3,18.30769231,20.53333333,0.891608392,0.721602425,3.461534663,0.208463151,14190.37766,6799.674862,2.086920029,1582.947921,1761.796111,0.898485308
5535,489861.0008,508126.8433,0.964052593,104.6363636,76.06666667,1.375587603,2.869042516,2.694851058,1.064638622,104.6756896,76.1143876,1.375241829,-1,19.91666667,16.6875,1.193508115,2.691292544,0.582961191,4.616589554,13752.17114,5116.296098,2.687915414,1161.769455,418.731075,2.774500209
5244,414951.0317,435929.885,0.951875625,95.5,70.5625,1.353410097,3.708099244,8.696038969,0.426412446,95.57196242,71.0963255,1.344260224,4,18.30769231,18.23529412,1.003970223,0.821313712,2.156506209,0.380853859,7108.328575,3585.122696,1.982729513,553.3583482,801.6216737,0.690298636
6903,450958.5075,458805.2992,0.982897339,80.92857143,72.8,1.111656201,7.146070706,8.352245207,0.855586795,81.24346128,73.27755454,1.108708687,1,18,17.6875,1.017667845,0.516397779,0.845484329,0.610771557,10232.31727,7996.42026,1.279612243,579.4597101,1042.910162,0.55561805
4899,493415.7025,479226.2733,1.029609038,98.18181818,70.6875,1.388955872,2.442732517,10.62261003,0.229955963,98.21220069,71.48120382,1.373958404,2,18.83333333,17.82352941,1.056655666,0.687184271,2.749016811,0.249974561,5432.307748,3046.584465,1.783081287,241.2095433,783.2468602,0.307961073
